id_passenger,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Segment
4c6d83db33,93,12,37.58999919891357,3,2,2,322,Other
4c6d848ce0,88,5,24.5,2,3,2,232,Other
4c71bf9b80,88,34,98.04999840259549,2,1,1,211,Loyal Passenger
4c739a1532,87,19,51.699999094009385,1,1,1,111,Best Passenger
4c7522395a,91,1,2.61999988555908,3,4,4,344,Other
4c7a932bc4,87,9,36.22999954223632,1,2,2,122,Recent Passenger
4c7ea59f01,78,24,77.30999863147734,1,1,1,111,Best Passenger
4c8902e298,112,1,2.75,4,4,4,444,Lost Cheap Passenger
4c918fa45b,89,5,16.48999977111816,2,3,3,233,Other
4c9591913c,98,9,22.35999977588653,4,2,2,422,Other
4c95abfb18,103,1,3.5,4,4,4,444,Lost Cheap Passenger
4ca8d0ee91,88,17,61.739999771118164,2,1,1,211,Loyal Passenger
4cb2c47830,100,6,18.0,4,3,3,433,Other
4cb59fb56a,94,4,18.0,3,3,3,333,Other
4cbe0e6b4f,91,9,22.839999437332143,3,2,2,322,Other
4cd0508749,89,30,75.4499988555908,2,1,1,211,Loyal Passenger
4cd534e888,87,6,11.85999977588653,1,3,3,133,Recent Passenger
4cdd63ca9c,104,1,5.0,4,4,4,444,Lost Cheap Passenger
4cde0f034d,93,2,11.239999771118159,3,4,3,343,Other
4ce6b13123,107,4,13.60999965667724,4,3,3,433,Other
4ce8d56c97,90,12,45.73999977111816,2,2,1,221,Big Spenders
4ceb5e1d26,89,31,264.20999908447266,2,1,1,211,Loyal Passenger
4cec976006,87,14,60.08999919891357,1,1,1,111,Best Passenger
4ceefc41a1,105,3,10.369999885559078,4,3,3,433,Other
4cf10b6938,90,21,86.829999089241,2,1,1,211,Loyal Passenger
4d046e0d76,86,9,21.85999965667724,1,2,2,122,Recent Passenger
4d10ba7d23,88,8,55.35999965667724,2,2,1,221,Big Spenders
4d12257f7e,86,9,21.48999977111816,1,2,2,122,Recent Passenger
4d141dd598,88,9,36.739999771118164,2,2,2,222,Other
4d2a4faee1,89,4,13.739999771118159,2,3,3,233,Other
4d3803ad25,86,44,169.00999736785883,1,1,1,111,Best Passenger
4d3b83e766,90,1,3.25,2,4,4,244,Other
4d45a132bf,99,3,12.86999988555908,4,3,3,433,Other
4d48215cec,102,4,18.23999977111816,4,3,3,433,Other
4d5160d08d,103,3,8.23999977111816,4,3,4,434,Other
4d5274cc85,100,2,7.4899997711181605,4,4,4,444,Lost Cheap Passenger
4d587f27d7,90,5,14.48999977111816,2,3,3,233,Other
4d637c0acd,90,34,124.07999897003171,2,1,1,211,Loyal Passenger
4d63ba3deb,86,1,2.25,1,4,4,144,Recent Passenger
4d6ab3f6a9,97,1,7.869999885559079,4,4,4,444,Lost Cheap Passenger
