id_passenger,TotalCompleteRides
354f668f68,9
31facf47d3,9
32758e26e1,9
306d1978f3,9
2c3eebcac8,9
2b8dda2ca0,9
9a5bfd3f9c,9
9addbe1a27,9
9a1950cc75,9
95814ba57a,9
94499a135d,9
93cdc6d56c,9
93e4e687a7,9
87b3020a80,9
91bb417a7f,9
8e2d9f36ec,9
8e41ef3cee,9
8b63bca9cd,9
74b355cb6d,9
7104808bc5,9
7258729d75,9
73c25f2ef8,9
78234e41e9,9
7875e38a32,9
79962842ee,9
7d67a5e93f,9
7d9c6dcb1a,9
7bc3e79914,9
cbaa428286,9
cc581522a6,9
cb88e6a47a,9
cb8a409b0e,9
c93df7a5a6,9
c5a450ae5d,9
b7fcf0e4d4,9
b9d3f9d824,9
bdd0e7be5a,9
bc32672522,9
c3aed7ba23,9
c3f7047243,9
c49510f920,9
bdfbcb4abd,9
bfc54d6233,9
bfcc958359,9
aca290ce87,9
abe885c576,9
b280aac414,9
b447badf39,9
b5bac05130,9
b5f418a9b2,9
9e61c242e6,9
9eb991cf37,9
a17858e5b1,9
a2f17f30fa,9
a847d354c4,9
aae7c1290c,9
a4a1f67395,9
a56e12808f,9
dc30954ef4,9
dc31167b68,9
db67274a07,9
d8881ee962,9
d9999b8c2c,9
d3ac9e670a,9
e44c505971,9
e20f5fe9ef,9
e597d2d02e,9
fb476af2b2,9
fe15dda8ee,9
ffccb0d4c9,9
f295d72aeb,9
f4581f0d30,9
ec589eddf3,9
edc6f5c5f4,9
ee2e743e84,8
ec211b6eeb,8
f155b46d1c,8
f03d725940,8
f0d26ed16b,8
ef31a96f72,8
f7a31d3b4b,8
f657fce71c,8
f858474935,8
f97c65f074,8
e5f650a3e2,8
e829157ab7,8
e91f847ff9,8
e33fffdb0e,8
dfc7b6cdcc,8
dff960e964,8
d29db3d088,8
d5f4681d7b,8
d663f50224,8
d683f77b9f,8
dd0f5d19cc,8
a5c6f03c3e,8
a772946fd1,8
a6ffd68836,8
aad777d179,8
a9d98fb23d,8
a99f9d578b,8
a20fd426e8,8
9e4e9ceaab,8
b466219909,8
b2a85a2a74,8
b2b3ec4b9e,8
b22aeeb682,8
b327393334,8
b344a92b74,8
b02ab513d4,8
ae1e5e1677,8
af860c8cae,8
c171e32484,8
c41f761e9b,8
c2b81de79f,8
bc07ce7a79,8
b83491ef07,8
c5507eb37b,8
c8acc790ce,8
ca1dd0b717,8
cba0ea70b1,8
cd8877895e,8
cf0e235b63,8
d067813a65,8
cfa487260a,8
7d7c90b5d1,8
789227e18a,8
7ac564b6aa,8
7ece3ee6c7,8
82f65f0140,8
71934f425e,8
6ca4e455e3,8
6cc007915b,8
6efc0f24cc,8
6ff7999398,8
8b1ec29a45,8
8b3f9430ec,8
8ec5e081bf,8
90f2483590,8
879069b9b2,8
84f3650fbe,8
96cc61a490,8
